"library","name","category","what_it_does","how_we_used_it_in_RFZ","sections","example"
"pandas","pd.read_parquet(path)","I/O","Reads a Parquet (columnar binary) file into a DataFrame — fast, typed, compressed.","Loaded crsp_monthly, compustat_annual, crsp_compustat_link from data/pulls/.","S1,S3,S5","crsp = pd.read_parquet(Data/'crsp_monthly.parquet')"
"pandas","df.head(n)","Inspect","Returns the first n rows (default 5). NOTE: needs the parentheses — df.head without () returns the method object, not data.","Confirmed each parquet loaded and saw column layout.","S1","crsp_month['me'].head()"
"pandas","df.shape","Inspect","Tuple of (n_rows, n_cols). Attribute, no parentheses.","Verified CRSP had 3,409,860 rows x 13 cols.","S1","print(crsp_month.shape)"
"pandas","df.columns / df.columns.tolist()","Inspect","Index of column labels; .tolist() converts to a plain Python list.","Listed CRSP + Compustat schemas before using them.","S1,S3","crsp_month.columns.tolist()"
"pandas","df.dtypes","Inspect","Per-column data types (Int64, Float64, datetime64, string).","Checked date parsed as datetime, numerics as Float64.","S1","print(crsp_month.dtypes)"
"pandas","df.describe()","Inspect","Summary stats: count, mean, std, min, 25/50/75%, max for numeric columns.","Validated B/M distribution — median 0.64, healthy quartiles.","S6","m['bm'].describe()"
"python","len(df)","Inspect","Row count of a DataFrame.","Measured rows before/after Compustat format filters and the link merge.","S3,S5","start_rows = len(compustat_annual)"
"pandas","pd.to_datetime(series)","Datetime","Parses strings/objects into datetime64 so date math and .dt work.","Converted datadate, linkdt, linkenddt to real dates.","S3,S5","comp['datadate'] = pd.to_datetime(comp['datadate'])"
"pandas","series.dt.year / series.dt.month","Datetime","Datetime accessor — extracts calendar parts as integers.","Built calyear/be_calyear/june_year; filtered month==12 and month==6.","S6,S7","dec = crsp[crsp.date.dt.month==12]"
"pandas","pd.Timestamp(str)","Datetime","Creates a single fixed timestamp.","Filled open-ended link end dates (NaT) with 2099-12-31 so active links survive the date filter.","S5","link['linkenddt'].fillna(pd.Timestamp('2099-12-31'))"
"pandas","df[col]","Select","Selects one column as a Series.","Accessed prc, shrout, ret, be, bm throughout.","all","crsp_month['prc']"
"pandas","df[[c1,c2]]","Select","Selects multiple columns as a DataFrame (note double brackets).","Printed focused views like [permno,date,me].","S2","check[['permno','absprc','shrout','me']]"
"pandas","df[boolean_mask]","Filter","Keeps rows where the mask is True (boolean indexing).","Filtered to Apple, to Dec rows, to positive BE, to NYSE.","all","comp[comp['be']>0]"
"python","& | with parentheses","Filter","Elementwise AND/OR to combine masks; each condition MUST be parenthesised.","Combined 4 Compustat format filters; combined link date-range bounds.","S3,S5","comp[(comp.indfmt=='INDL') & (comp.consol=='C')]"
"pandas","series.isin([...])","Filter","Boolean mask: is each value in the given set?","Enforced shrcd in {10,11}, exchcd in {1,2,3}, linktype in {LU,LC}.","S1,S5","crsp_month['shrcd'].isin([10,11])"
"pandas","series.isna() / pd.notna(x)","Null-test","isna(): True where missing. pd.notna(): True where present (scalar-safe).","Counted NA in prc/shrout/ret; guarded each rung of the book_equity ladder.","S1,S4","if pd.notna(row['seq']): ..."
"pandas","series.all() / series.any()","Reduce","Collapse a boolean Series to one bool (all True / any True).","Powered assert statements; .any() checked Apple's permno appeared.","S1,S5","assert crsp_month['shrcd'].isin([10,11]).all()"
"pandas","series.abs()","Transform","Elementwise absolute value.","Fixed CRSP's negative-price convention (neg = bid/ask midpoint, no trade).","S2","crsp_month['absprc'] = crsp_month['prc'].abs()"
"pandas","Series arithmetic (* / + -)","Transform","Elementwise math across aligned Series/scalars.","Computed ME=|prc|*shrout/1000, BE=SE+txditc-PS, B/M=be/me_dec.","S2,S4,S6","crsp_month['me'] = crsp_month['absprc']*crsp_month['shrout']/1000"
"pandas","df.copy()","Transform","Independent copy so later edits don't mutate the parent / trigger SettingWithCopyWarning.","After every filter that we kept building on (comp, merged, nyse).","S3,S4,S5","comp = compustat_annual[mask].copy()"
"pandas","df['new'] = ...","Transform","Creates or overwrites a column by assignment.","Added absprc, me, be, be_calyear, portfolio_year, bm, buckets.","all","m['portfolio_year'] = m['be_calyear'] + 1"
"pandas","df.rename(columns={old:new})","Transform","Renames columns via a mapping.","me -> me_dec and me -> me_june so the two ME lookups stay distinct.","S6,S7","dec.rename(columns={'me':'me_dec'})"
"numpy","np.where(cond, a, b)","Transform","Vectorized if-else with TWO outcomes.","Size bucket: 'S' if me_june<median else 'B'.","S8","np.where(m['me_june']<m['size_median'],'S','B')"
"numpy","np.select([conds],[vals],default)","Transform","Vectorized multi-way if (3+ outcomes).","B/M bucket: 'L' / 'H' / else 'M'.","S8","np.select([bm<p30, bm>=p70],['L','H'],default='M')"
"numpy","np.nan","Value","IEEE not-a-number; pandas missing marker.","book_equity returns np.nan when no SE source available.","S4","se = np.nan"
"pandas","df.sort_values(by=[...])","Order","Sorts rows by one/more columns.","Ordered by permno,date before ME; by gvkey,fyear,datadate before dedup.","S2,S3","comp.sort_values(['gvkey','fyear','datadate'])"
"pandas","df.reset_index(drop=True)","Order","Renumbers the row index 0..n-1; drop=True discards the old index.","Clean integer index after sorting/dropping rows.","S2","crsp_month.sort_values(...).reset_index(drop=True)"
"pandas","df.drop_duplicates(subset=[...], keep='last')","Dedup","Removes duplicate rows on key columns; keep='last' retains the final one after sorting.","One Compustat row per (gvkey,fyear) — kept latest datadate (fiscal-year-change artifacts).","S3","comp.drop_duplicates(['gvkey','fyear'],keep='last')"
"pandas","df.nlargest(n, col)","Order","Top n rows by a column, sorted descending.","Top-10 ME (validated AAPL/MSFT/GOOGL) and top B/M (distressed micro-caps).","S2,S6","top10.nlargest(10,'me')"
"pandas","df.tail(n)","Inspect","Last n rows.","Looked at Apple's most recent fiscal years for BE sanity.","S4","apple.sort_values('fyear').tail(5)"
"pandas","df.groupby([...])","Group","Splits rows into groups by key(s); returns a lazy GroupBy to aggregate.","Grouped by (gvkey,fyear) for dedup checks; by portfolio_year for breakpoints.","S3,S5,S7","comp.groupby(['gvkey','fyear'])"
"pandas","gb.size()","Aggregate","Row count per group.","Detected duplicate (gvkey,fyear) rows before dedup.","S3","comp.groupby(['gvkey','fyear']).size().max()"
"pandas","gb[col].nunique()","Aggregate","Count of distinct values per group.","Verified exactly one permno per (gvkey,fyear) after the link merge.","S5","merged.groupby(['gvkey','fyear'])['permno'].nunique().max()"
"pandas","gb[col].median()","Aggregate","Median per group.","NYSE size_median breakpoint per portfolio_year.","S7","nyse.groupby('portfolio_year')['me_june'].median()"
"pandas","gb[col].quantile(q)","Aggregate","q-th percentile per group (q in 0..1).","NYSE B/M 30th & 70th breakpoints per year.","S7","nyse.groupby('portfolio_year')['bm'].quantile(0.30)"
"pandas","series.max()/.sum()/.mean()","Aggregate","Standard reducers over a Series.","Uniqueness asserts, NA counts, negative-BE count.","S1,S5","(comp['be']<0).sum()"
"pandas","df.merge(other, on=, how=)","Join","SQL-style join on shared key(s). how: inner/left/right/outer.","Joined Compustat to link table on gvkey (inner).","S5","comp.merge(link, on='gvkey', how='inner')"
"pandas","merge(left_on=, right_on=)","Join","Join when the key columns have DIFFERENT names on each side.","BE calyear <-> Dec ME calyear; portfolio_year <-> june_year.","S6,S7","m.merge(dec, left_on=['permno','be_calyear'], right_on=['permno','calyear'])"
"pandas","series.fillna(value)","Null-fill","Replaces missing values with a constant.","Open-ended link end dates NaT -> 2099-12-31.","S5","link['linkenddt'].fillna(pd.Timestamp('2099-12-31'))"
"pandas","def func + df.apply(func, axis=1)","Apply","Runs a Python function on each row (axis=1) — flexible but slow; use for genuine row logic.","book_equity() fallback ladder across seq/ceq/pstk/at/lt.","S4","comp['be'] = comp.apply(book_equity, axis=1)"
"python","assert cond, 'msg'","Guard","Raises AssertionError with msg if cond is False — a tripwire for silent data bugs.","Guarded filter leaks and one-permno-per-key invariants.","S1,S3,S5","assert max_permnos==1, 'dup permno'"
"python","f-strings","Format","Inline formatted strings: f'{var:,}' adds thousands separators.","Readable row-count and drop-count prints.","S3","print(f'dropped {rows_dropped:,}')"
"pandas","series.value_counts()","Aggregate","Counts occurrences of each distinct value, descending.","(Section 8) tally of the 6 portfolio labels S/L..B/H.","S8","m['portfolio'].value_counts()"
"pandas","series.shift(1)","Transform","Lags a Series by one period (prior row's value).","(Section 9) start-of-month ME weight — avoids look-ahead in value-weighting.","S9","g['me'].shift(1)"
"pandas","series.corr(other)","Aggregate","Pearson correlation between two aligned Series.","(Section 10) validate own SMB/HML vs Ken French (target > 0.95).","S10","my_hml.corr(kf_hml)"
"pandas","string Series + '/' + Series","Transform","Elementwise string concatenation of columns.","Combined size+value buckets into 'S/H' etc.","S8","m['size_bucket'] + '/' + m['bm_bucket']"
